titulo,link,descricao,termo,texto_limpo,sentimento
MCTI e governo do Piauí firmam parceria para avançar em projetos de IA - Agência Gov,https://news.google.com/rss/articles/CBMimgFBVV95cUxOSERYZkxLV3JZcWdPWEpta1phVXJvbXBMYkg2ZW8tcmNsRlhpYUJ3cnhrX05sbk82Q0xoYzRDNXlWTWx1SWd5TWg5SGVSdjdIaXY4U3BHMWpxVDlUMHVSZWctZFc0Q3ZIeDRocE9sbzhKY01GQWlIY0J3NHhscTBqT2J0RDJwVV9tN1FGZnRVZF9qVWFrMzJ0UFZR?oc=5,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOSERYZkxLV3JZcWdPWEpta1phVXJvbXBMYkg2ZW8tcmNsRlhpYUJ3cnhrX05sbk82Q0xoYzRDNXlWTWx1SWd5TWg5SGVSdjdIaXY4U3BHMWpxVDlUMHVSZWctZFc0Q3ZIeDRocE9sbzhKY01GQWlIY0J3NHhscTBqT2J0RDJwVV9tN1FGZnRVZF9qVWFrMzJ0UFZR?oc=5"" target=""_blank"">MCTI e governo do Piauí firmam parceria para avançar em projetos de IA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agência Gov</font>",Inteligência Artificial Piauí,mcti e governo do piauí firmam parceria para avançar em projetos de ia  agência gov mcti e governo do piauí firmam parceria para avançar em projetos de ianbspnbspagência gov,Neutro
Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16) - pi.gov.br,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQWDRwSnBkdHMyc1l1all5b3h3dm4zcUxWSmIxYVRUazJLNy1LUHM0UUFrRXpnc25iaWtMRWtjOW9NeklWTTNEdUp1c1NpaEVGVWZqd2RqZDk1R0tDX2Z2Y2dOLW01VFB2ZWY2Vk5Pd0RlVEJOVDZQcHU3R253SWJ0aV9QSW5pMjhTTnpKYTRTcm1lOWtlQ2ZLR0N3eVpKQ0lxbndWTUlxSlRUTVZ3dGVLRzJyc2lybDlZb1lZaEhoemtjanRuWHRxb2F5MUhwMnl0RjZyVFZzWXdMUzRlT3l4dnpzczVVTW5oa0RWYkdLYlJNdmg1VTI4Mw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxQWDRwSnBkdHMyc1l1all5b3h3dm4zcUxWSmIxYVRUazJLNy1LUHM0UUFrRXpnc25iaWtMRWtjOW9NeklWTTNEdUp1c1NpaEVGVWZqd2RqZDk1R0tDX2Z2Y2dOLW01VFB2ZWY2Vk5Pd0RlVEJOVDZQcHU3R253SWJ0aV9QSW5pMjhTTnpKYTRTcm1lOWtlQ2ZLR0N3eVpKQ0lxbndWTUlxSlRUTVZ3dGVLRzJyc2lybDlZb1lZaEhoemtjanRuWHRxb2F5MUhwMnl0RjZyVFZzWXdMUzRlT3l4dnpzczVVTW5oa0RWYkdLYlJNdmg1VTI4Mw?oc=5"" target=""_blank"">Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",Inteligência Artificial Piauí,piauí lança sistema de videomonitoramento urbano com inteligência artificial e inaugura centro integrado de comando e controle neste sábado   pigovbr piauí lança sistema de videomonitoramento urbano com inteligência artificial e inaugura centro integrado de comando e controle neste sábado nbspnbsppigovbr,Neutro
Educação pública do Piauí vira referência com salto digital e uso de inteligência artificial - pi.gov.br,https://news.google.com/rss/articles/CBMitgFBVV95cUxNcTlvY3p3R3NEOFRYaGQ1TE9zdWhya2x3RzhQdG9yWnV4RmdZVkxlQmphWWhIaDBkUkRrdzJqek1JWmZ3U3hJc2Rzc24tS0pSQzQzSFBfNE9xX2pCRzBELTdIbnRWWWZrRkJOY0NjYzFidl9PWkhqeTZFZVFUeGNqcHN4RE9tWm50WlZZdnBrMkN2dXEzaUp1a0VCRXlBTGY5UHZnRlMxTGFaWWY4d2F0WEI3cTMzQQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNcTlvY3p3R3NEOFRYaGQ1TE9zdWhya2x3RzhQdG9yWnV4RmdZVkxlQmphWWhIaDBkUkRrdzJqek1JWmZ3U3hJc2Rzc24tS0pSQzQzSFBfNE9xX2pCRzBELTdIbnRWWWZrRkJOY0NjYzFidl9PWkhqeTZFZVFUeGNqcHN4RE9tWm50WlZZdnBrMkN2dXEzaUp1a0VCRXlBTGY5UHZnRlMxTGFaWWY4d2F0WEI3cTMzQQ?oc=5"" target=""_blank"">Educação pública do Piauí vira referência com salto digital e uso de inteligência artificial</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",Inteligência Artificial Piauí,educação pública do piauí vira referência com salto digital e uso de inteligência artificial  pigovbr educação pública do piauí vira referência com salto digital e uso de inteligência artificialnbspnbsppigovbr,Neutro
Piauí avança na educação em tempo integral e no ensino de Inteligência Artificial - pi.gov.br,https://news.google.com/rss/articles/CBMipwFBVV95cUxOZTV0dlNkSURRelVDbzdIRlBXVmtyblI5MWhCS3ZTTWJNTVhIYXI4LTJnWVB2cXFLOTk5dlZLa0lWcjM4X0tfVEllaGlpYmZoWW9hZXc2cjN4NkR1ZWlucHRkZ1ozdWt1OExuRlFyTVVIcDVuS1VEU3dsMGhVUy01MTJIQjJtNHYxWjZka0JwWmF3RkRuRUlxT19tREZqbjZQWXpEOVVxSQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxOZTV0dlNkSURRelVDbzdIRlBXVmtyblI5MWhCS3ZTTWJNTVhIYXI4LTJnWVB2cXFLOTk5dlZLa0lWcjM4X0tfVEllaGlpYmZoWW9hZXc2cjN4NkR1ZWlucHRkZ1ozdWt1OExuRlFyTVVIcDVuS1VEU3dsMGhVUy01MTJIQjJtNHYxWjZka0JwWmF3RkRuRUlxT19tREZqbjZQWXpEOVVxSQ?oc=5"" target=""_blank"">Piauí avança na educação em tempo integral e no ensino de Inteligência Artificial</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",Inteligência Artificial Piauí,piauí avança na educação em tempo integral e no ensino de inteligência artificial  pigovbr piauí avança na educação em tempo integral e no ensino de inteligência artificialnbspnbsppigovbr,Neutro
Representantes de ministérios conhecem estrutura tecnológica e projetos em inteligência artificial no Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMiygFBVV95cUxOS09yR3NnQml0SmkzaldqSk44T1piZUJqTzBkaDhXRGdtLWVueXFvODd6Rm8tUUpzcjJCeWdnbkpaaF9WeW5OemhkUmxXZnB6YTREVkFYTE9CRnhXcWVKX1ROM2t5Q1hrQzlocGN4LXFRaXJ2VERxUFBGaVRSeUNhOTZhR0RoMVdEREowdHExaVM0UnZXX2FMWWZ6UWp2S2pJendWR1F2Vy1qbHNSdVF0RmFvczdadTQ2SlMzcDhPVWV6TWMyMzBjYlZ3?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOS09yR3NnQml0SmkzaldqSk44T1piZUJqTzBkaDhXRGdtLWVueXFvODd6Rm8tUUpzcjJCeWdnbkpaaF9WeW5OemhkUmxXZnB6YTREVkFYTE9CRnhXcWVKX1ROM2t5Q1hrQzlocGN4LXFRaXJ2VERxUFBGaVRSeUNhOTZhR0RoMVdEREowdHExaVM0UnZXX2FMWWZ6UWp2S2pJendWR1F2Vy1qbHNSdVF0RmFvczdadTQ2SlMzcDhPVWV6TWMyMzBjYlZ3?oc=5"" target=""_blank"">Representantes de ministérios conhecem estrutura tecnológica e projetos em inteligência artificial no Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",Inteligência Artificial Piauí,representantes de ministérios conhecem estrutura tecnológica e projetos em inteligência artificial no piauí  pigovbr representantes de ministérios conhecem estrutura tecnológica e projetos em inteligência artificial no piauínbspnbsppigovbr,Neutro
SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí - SEDUC-PI,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5"" target=""_blank"">SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SEDUC-PI</font>",SIA Piauí,sia e seduc lançam chamada pública para seleção de professores bolsistas no projeto conexão ciência piauí  seducpi sia e seduc lançam chamada pública para seleção de professores bolsistas no projeto conexão ciência piauínbspnbspseducpi,Neutro
SIA Talks promove discussão sobre regulamentação da Inteligência Artificial no Brasil e no mundo - pi.gov.br,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQNkJXMVVKNW5JcDdBNDBGYUg4UXM4aHpfcl9rWVJTbHI2NFVmWjVkcXVnZGtQM3ZSaDN2U0Y3RjExNHBuWkNDQUllWWlaUURsNTlBYjJpVzh5TUtBc2htamxiNjJ4TWc5M0ZMWHJidGJqVmtteGVneHRJeTh2bHJiN2dSRWotZ214TDc3bGE0bkRqbFh2aDh2QXYwemh5RFllM2FlZk1rUlNucG91TWhpaUYyMGZncU1oMWhr?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQNkJXMVVKNW5JcDdBNDBGYUg4UXM4aHpfcl9rWVJTbHI2NFVmWjVkcXVnZGtQM3ZSaDN2U0Y3RjExNHBuWkNDQUllWWlaUURsNTlBYjJpVzh5TUtBc2htamxiNjJ4TWc5M0ZMWHJidGJqVmtteGVneHRJeTh2bHJiN2dSRWotZ214TDc3bGE0bkRqbFh2aDh2QXYwemh5RFllM2FlZk1rUlNucG91TWhpaUYyMGZncU1oMWhr?oc=5"" target=""_blank"">SIA Talks promove discussão sobre regulamentação da Inteligência Artificial no Brasil e no mundo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,sia talks promove discussão sobre regulamentação da inteligência artificial no brasil e no mundo  pigovbr sia talks promove discussão sobre regulamentação da inteligência artificial no brasil e no mundonbspnbsppigovbr,Positivo
Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5"" target=""_blank"">Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,game sobre energia renovável desenvolvido na sia é disponibilizado ao público  pigovbr game sobre energia renovável desenvolvido na sia é disponibilizado ao públiconbspnbsppigovbr,Neutro
SIA representa o Piauí em encontros sobre IA e tecnologia com Itália e Israel - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxPTVlMTVE4Sno0dTdaUGJmZzJSTXlQeldEMWE1NjNLLXRJMVdoamFLRDR3MG9nMEhmV0FvZmxXdkhKWWJtS0kyWk90TDg1UWVKVEhjSTVsZUttUEZQNS1rQlVOZWtJZnhVZVh2dmFIRU82N0tiR2VXM29VR2U3RUhjTnFkV2RlM0YxSjJ6N1VYQ3djUlNSVkNCOFR5MWJUX3EwS0E?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPTVlMTVE4Sno0dTdaUGJmZzJSTXlQeldEMWE1NjNLLXRJMVdoamFLRDR3MG9nMEhmV0FvZmxXdkhKWWJtS0kyWk90TDg1UWVKVEhjSTVsZUttUEZQNS1rQlVOZWtJZnhVZVh2dmFIRU82N0tiR2VXM29VR2U3RUhjTnFkV2RlM0YxSjJ6N1VYQ3djUlNSVkNCOFR5MWJUX3EwS0E?oc=5"" target=""_blank"">SIA representa o Piauí em encontros sobre IA e tecnologia com Itália e Israel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,sia representa o piauí em encontros sobre ia e tecnologia com itália e israel  pigovbr sia representa o piauí em encontros sobre ia e tecnologia com itália e israelnbspnbsppigovbr,Neutro
"Piauí + Digital: Sefaz, Etipi e SIA recebem capacitação do BID sobre Termo de Referência - pi.gov.br",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQOG5QY3FaNmJIT0g4bUl4ZlZEVTk0ZDZkTUdyaGIyd0hlZUExYTl3RFZNb2I5dWMtSEg0NEpVaEZEbVRyVWktY0JzZXJMWGZib3hIUzhrNnI4M08zUGwtN1BhUHJPX1FPNG43aXEzU0tDa2ZfcndUSjZVbzQ4XzRlS21EdFRiSjlPYTI4RHBVcUFET1N5TVdxazBKNTVXU2l2QTkteGRLU3hKZW8?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQOG5QY3FaNmJIT0g4bUl4ZlZEVTk0ZDZkTUdyaGIyd0hlZUExYTl3RFZNb2I5dWMtSEg0NEpVaEZEbVRyVWktY0JzZXJMWGZib3hIUzhrNnI4M08zUGwtN1BhUHJPX1FPNG43aXEzU0tDa2ZfcndUSjZVbzQ4XzRlS21EdFRiSjlPYTI4RHBVcUFET1N5TVdxazBKNTVXU2l2QTkteGRLU3hKZW8?oc=5"" target=""_blank"">Piauí + Digital: Sefaz, Etipi e SIA recebem capacitação do BID sobre Termo de Referência</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,piauí  digital sefaz etipi e sia recebem capacitação do bid sobre termo de referência  pigovbr piauí  digital sefaz etipi e sia recebem capacitação do bid sobre termo de referêncianbspnbsppigovbr,Neutro
Piauí e Goiás trocam experiências sobre inteligência artificial e GovTech - pi.gov.br,https://news.google.com/rss/articles/CBMinAFBVV95cUxQTC0xSDhIOG1yVHIwWlhaRlBDRUlVbE03OXM1Vjh1UmJJcjhJMFNKa0ctT0JSdEJ6aU04NXZfUFZyejI3MkpyYzRVcWNWRTF6ZncxekpMSEJhOUJWZVJtZ2ctOHpWcDIweXNaSGh3X2VCYXA2VWQwTUtXUEdYaTZqRFJiVkNFT0g2NmxRblZtYnMxMUZmNXdUZmRNYWg?oc=5,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQTC0xSDhIOG1yVHIwWlhaRlBDRUlVbE03OXM1Vjh1UmJJcjhJMFNKa0ctT0JSdEJ6aU04NXZfUFZyejI3MkpyYzRVcWNWRTF6ZncxekpMSEJhOUJWZVJtZ2ctOHpWcDIweXNaSGh3X2VCYXA2VWQwTUtXUEdYaTZqRFJiVkNFT0g2NmxRblZtYnMxMUZmNXdUZmRNYWg?oc=5"" target=""_blank"">Piauí e Goiás trocam experiências sobre inteligência artificial e GovTech</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,piauí e goiás trocam experiências sobre inteligência artificial e govtech  pigovbr piauí e goiás trocam experiências sobre inteligência artificial e govtechnbspnbsppigovbr,Neutro
Tecnologia e inovação marcam encerramento da Brazil Energy Conference sob liderança da SIA - pi.gov.br,https://news.google.com/rss/articles/CBMiswFBVV95cUxQYkg5NEcyd3BxYTBGQ1VBTE5ucEFPbFgzWlNYb0ViU1pIbzhtc2hXblE0NWNZRlJHOXVYdXZwVi1mSlBGamwwSy1zLVBhQTZraUNjZW0xUk9oWklLX1g0dnFvTE83MWFJeWcxTE5MZFFlS2FFRFBFazA1MHFzTndiODJqYnhRN2JpVVJreUszWGNkbnB0eWxDd1VlVGoydVdGa05rOGZQWXBWeU9fN0Nwa2dENA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQYkg5NEcyd3BxYTBGQ1VBTE5ucEFPbFgzWlNYb0ViU1pIbzhtc2hXblE0NWNZRlJHOXVYdXZwVi1mSlBGamwwSy1zLVBhQTZraUNjZW0xUk9oWklLX1g0dnFvTE83MWFJeWcxTE5MZFFlS2FFRFBFazA1MHFzTndiODJqYnhRN2JpVVJreUszWGNkbnB0eWxDd1VlVGoydVdGa05rOGZQWXBWeU9fN0Nwa2dENA?oc=5"" target=""_blank"">Tecnologia e inovação marcam encerramento da Brazil Energy Conference sob liderança da SIA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,tecnologia e inovação marcam encerramento da brazil energy conference sob liderança da sia  pigovbr tecnologia e inovação marcam encerramento da brazil energy conference sob liderança da sianbspnbsppigovbr,Neutro
Conexão Ciência: termina nesta sexta (18) o prazo para inscrição de professores - pi.gov.br,https://news.google.com/rss/articles/CBMioAFBVV95cUxPRGh6TTlYVnpQeDJjbWlHdjFTeU5abGpHZUx0X1V6MDhHY1c5d3UzeFN3djBVRTFJS1dyUFE3S1pFVFZ1ZkYtSk9jeWw5andaeVRpRkJpVEVSdWlZQjhnZGdEVkFCSVhuRHotbUIzMnVldDdlZnlxN010Y29BU0lYQ3VheklPdzFVbkwwQUpsa2ZQX3hmT2dWakZwMmlBQVhj?oc=5,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPRGh6TTlYVnpQeDJjbWlHdjFTeU5abGpHZUx0X1V6MDhHY1c5d3UzeFN3djBVRTFJS1dyUFE3S1pFVFZ1ZkYtSk9jeWw5andaeVRpRkJpVEVSdWlZQjhnZGdEVkFCSVhuRHotbUIzMnVldDdlZnlxN010Y29BU0lYQ3VheklPdzFVbkwwQUpsa2ZQX3hmT2dWakZwMmlBQVhj?oc=5"" target=""_blank"">Conexão Ciência: termina nesta sexta (18) o prazo para inscrição de professores</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,conexão ciência termina nesta sexta  o prazo para inscrição de professores  pigovbr conexão ciência termina nesta sexta  o prazo para inscrição de professoresnbspnbsppigovbr,Neutro
"Secretaria leva tecnologia imersiva, realidade virtual e inteligência artificial à Brazil Energy Conference - pi.gov.br",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOam0zZTF4RTRhS3JLQWNKSi1iaDQ1N1BkdGgzUnQ0bXRteDBXUVhuTGQwZkNwRllpUVpUajhMZzl4UEdFb2pSYkVJRVpmSzd4T0MtUDgzUWJjZmQxWk1RalB3LVlTcDJqdTJLRC04Wlk4Um1KOUVIQWtkeHFZUEdXMl8wbVc3aXVSczRMUHJwMFlPR2VxajdFajJ5ZTVrUG9CNWh0T1IyWGRZblBsTGRUZzNXd3VJbGZ0X2ZsSVBHekNiNUZVYkFwcA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOam0zZTF4RTRhS3JLQWNKSi1iaDQ1N1BkdGgzUnQ0bXRteDBXUVhuTGQwZkNwRllpUVpUajhMZzl4UEdFb2pSYkVJRVpmSzd4T0MtUDgzUWJjZmQxWk1RalB3LVlTcDJqdTJLRC04Wlk4Um1KOUVIQWtkeHFZUEdXMl8wbVc3aXVSczRMUHJwMFlPR2VxajdFajJ5ZTVrUG9CNWh0T1IyWGRZblBsTGRUZzNXd3VJbGZ0X2ZsSVBHekNiNUZVYkFwcA?oc=5"" target=""_blank"">Secretaria leva tecnologia imersiva, realidade virtual e inteligência artificial à Brazil Energy Conference</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,secretaria leva tecnologia imersiva realidade virtual e inteligência artificial à brazil energy conference  pigovbr secretaria leva tecnologia imersiva realidade virtual e inteligência artificial à brazil energy conferencenbspnbsppigovbr,Neutro
Governo divulga resultado final de chamada pública do Conexão Ciência Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxPeXozUHRYOG9rc3pnTGs3UWNraGtjVy1ISG0teFhsMVBkdVFtSzNxYnpBNkZyaTl6MUJxLTJIN0tXak9pOFZnS3VRZUVvZEtnME8xUW1ybFNXS3pWMHFiOGJxdlFMUE9nRHY4OUYzLUExV0RBUmRyV2ZWXzhkNGtkdXJyeDhxNEZoVVhIWDBMay16LUFqOGExZXpibEJlUGdTT3c?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPeXozUHRYOG9rc3pnTGs3UWNraGtjVy1ISG0teFhsMVBkdVFtSzNxYnpBNkZyaTl6MUJxLTJIN0tXak9pOFZnS3VRZUVvZEtnME8xUW1ybFNXS3pWMHFiOGJxdlFMUE9nRHY4OUYzLUExV0RBUmRyV2ZWXzhkNGtkdXJyeDhxNEZoVVhIWDBMay16LUFqOGExZXpibEJlUGdTT3c?oc=5"" target=""_blank"">Governo divulga resultado final de chamada pública do Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,governo divulga resultado final de chamada pública do conexão ciência piauí  pigovbr governo divulga resultado final de chamada pública do conexão ciência piauínbspnbsppigovbr,Neutro
Seminário Estadual de Contratações Públicas para Inovação reforça modernização da gestão no Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMivAFBVV95cUxPRFRXcFk4MzBHT0NlSndNSmw3ZDlsdlVCYUlUSEJ2Vm5iVy1mQUJielU5eTFTSHRKRmdEb0tuT1lUN2dON3RBazNjOG9jU3JTcWFKNW8wQmdTdUk1cHI0X3c5ZTRFZENhMGVUR0szeXhtZmpsZ2t3aDZYN1JYYzEzajE1bDIwU1BLaVNGeGJnWU9hd2FsS1pBbE8xdlN1ZWh1X3d2QktlOVM4ZDFsQ2h4TThwWFBPYnBZb2k1VA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPRFRXcFk4MzBHT0NlSndNSmw3ZDlsdlVCYUlUSEJ2Vm5iVy1mQUJielU5eTFTSHRKRmdEb0tuT1lUN2dON3RBazNjOG9jU3JTcWFKNW8wQmdTdUk1cHI0X3c5ZTRFZENhMGVUR0szeXhtZmpsZ2t3aDZYN1JYYzEzajE1bDIwU1BLaVNGeGJnWU9hd2FsS1pBbE8xdlN1ZWh1X3d2QktlOVM4ZDFsQ2h4TThwWFBPYnBZb2k1VA?oc=5"" target=""_blank"">Seminário Estadual de Contratações Públicas para Inovação reforça modernização da gestão no Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,seminário estadual de contratações públicas para inovação reforça modernização da gestão no piauí  pigovbr seminário estadual de contratações públicas para inovação reforça modernização da gestão no piauínbspnbsppigovbr,Neutro
Novo espaço em Teresina oferece à população a Rota da Cidadania Digital - pi.gov.br,https://news.google.com/rss/articles/CBMimgFBVV95cUxQcDhHdTlXcFhQR21LN0ZTWnkzTVI5UEd3UWxXeUd6aEpROENWUWI2cjFOSklZTjYtYkNWa2ZsRElURmlSVWJPT0habzhMMmJ4ejQ0NVQ3allDRllNekpzOHllbjBIalV2ZG9qMk9kZkxHNDZKbGNfVTZ2akFlbVdzeDdlMkpTOGhfTnc3SWRKUGNkYXI4QVpXSmln?oc=5,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQcDhHdTlXcFhQR21LN0ZTWnkzTVI5UEd3UWxXeUd6aEpROENWUWI2cjFOSklZTjYtYkNWa2ZsRElURmlSVWJPT0habzhMMmJ4ejQ0NVQ3allDRllNekpzOHllbjBIalV2ZG9qMk9kZkxHNDZKbGNfVTZ2akFlbVdzeDdlMkpTOGhfTnc3SWRKUGNkYXI4QVpXSmln?oc=5"" target=""_blank"">Novo espaço em Teresina oferece à população a Rota da Cidadania Digital</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,novo espaço em teresina oferece à população a rota da cidadania digital  pigovbr novo espaço em teresina oferece à população a rota da cidadania digitalnbspnbsppigovbr,Neutro
Divulgado o resultado preliminar do projeto Conexão Ciência Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMikgFBVV95cUxNZVpLem5BTUVuN2JOWENVM3JrVEw4UV9Ock80NmluenR3by1ZdGtJZFRWZDluUVA2RVhNWmlzaGRYY1oyQ2JRVXI1Zk5GMzZaRWh1Z0VGOWktN3FBMFgwWTlobUdGMmFJVDNrOW1nS2M4R0xZVWc4VktNRDlQSXRqc2RVdm92eVFObGpiRVBnZWFtZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNZVpLem5BTUVuN2JOWENVM3JrVEw4UV9Ock80NmluenR3by1ZdGtJZFRWZDluUVA2RVhNWmlzaGRYY1oyQ2JRVXI1Zk5GMzZaRWh1Z0VGOWktN3FBMFgwWTlobUdGMmFJVDNrOW1nS2M4R0xZVWc4VktNRDlQSXRqc2RVdm92eVFObGpiRVBnZWFtZw?oc=5"" target=""_blank"">Divulgado o resultado preliminar do projeto Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,divulgado o resultado preliminar do projeto conexão ciência piauí  pigovbr divulgado o resultado preliminar do projeto conexão ciência piauínbspnbsppigovbr,Neutro
